	class	name	lat	lon	address
155	Магазин электроники	Олди	55.700672	37.742020000000004	ул. Малышева, 20, Москва, Россия
156	Магазин электроники	Цифровой супермаркет DNS	51.602801	39.237961	Ростовская ул., 58/24, Воронеж, Россия
157	Салон связи	Связной	55.838	37.5769	Локомотивный пр., 4, Москва, Россия
158	Магазин электроники	АйТиПи	55.706741	37.597235	ул. Орджоникидзе, 11, стр. 10, Москва, Россия
159	Магазин электроники	Классик Компани	55.825557999999994	37.500881	Старопетровский пр., 7А, стр. 25, Москва, Россия
160	Магазин электроники	Rustore	68.971052	33.088196999999994	ул. Софьи Перовской, 16, Мурманск, Россия
161	Магазин электроники	Цифровой супермаркет DNS	45.010395	39.124522	Крылатая ул., 2, жилой массив Пашковский, Краснодар, Россия
162	Салон связи	Билайн	56.342746	37.51577	Загорская ул., 22, Дмитров, Россия
163	Магазин электроники	Интернет-магазин Микронаушники Москва	55.768841	37.586921999999994	ул. Красина, 24/28, Москва, Россия
164	Салон связи	Runbo	55.65349200000001	37.644746000000005	Каширское ш., 24, стр. 15, Москва, Россия
165	Салон связи	Связной	55.9108	37.3965	1, район Новокуркино, 8-й микрорайон, Химки, Россия
166	Магазин электроники	Mservice	56.710983	36.772317	ул. Энергетиков, 3, Конаково, Россия
167	Магазин электроники	Цифровой супермаркет DNS	55.807807	38.987466	ул. Ленина, 78, Орехово-Зуево, Россия
168	Магазин электроники	Мегабит	55.70386800000001	38.956520000000005	ул. Ленина, 4/1, Ликино-Дулёво, Россия
169	Магазин электроники	Цифровой супермаркет DNS	44.547973	135.556962	просп. 50 лет Октября, 45А, Дальнегорск, Россия
170	Магазин электроники	Эльдорадо	64.549609	40.549858	ул. Гайдара, 52, Архангельск, Россия
171	Магазин электроники	Цифровой супермаркет DNS	58.596616000000004	49.593278999999995	ул. Воровского, 112, Киров, Россия
172	Салон связи	Салон-магазин МТС	54.837773	38.246546	Россия, Московская область, Кашира, улица Вахрушева
173	Салон связи	Мобил элемент	55.646446	37.407728999999996	ул. Щорса, 5, Москва, Россия
174	Салон связи	Связной	54.9422	37.4051	Московское ш., 55, Серпухов, Россия
175	Салон связи	Евросеть	55.948106	37.498736	просп. Пацаева, 9, Долгопрудный, Россия
176	Салон связи	Салон-магазин МТС	55.838341	37.572431	ул. Линии Октябрьской Железной Дороги, 2, стр. 2, Москва, Россия
177	Салон связи	Евросеть	55.756325	37.615643	Манежная площадь, 1, стр. 2, Москва, Россия
178	Магазин электроники	Технопарк	55.844505000000005	37.658978999999995	просп. Мира, 211, корп. 2, Москва, Россия
179	Салон связи	Салон-магазин МТС	56.995612	40.979627	ул. 10 Августа, 39А, Иваново, Россия
180	Салон связи	Телефон.ру	55.625262	38.007467999999996	Быковское ш., 37А, микрорайон Малаховского Экспериментального Завода, п. г. т. Малаховка, Россия
181	Магазин электроники	Интернет-магазин Mega-Beats.ru	55.795727	37.788477	5-я Парковая ул., 34, Москва, Россия
182	Магазин электроники	Мистер Чип	55.811032	37.624444	Звёздный бул., 21, стр. 1, Москва, Россия
183	Салон связи	Салон-магазин МТС	56.108091	38.691966	Россия, Владимирская область, Киржачский район, деревня Дубки
184	Магазин электроники	Цифровой супермаркет DNS	42.810308	132.871601	Ленинская ул., 2, Находка, Россия
185	Магазин электроники	Интернет-магазин Квазар	55.81074399999999	37.578496	Дмитровское ш., 1, корп. 1, Москва, Россия
186	Салон связи	Билайн	54.600153000000006	39.826325	ул. Новосёлов, 56, Октябрьский административный округ, район Дашково-Песочня, Рязань, Россия
187	Магазин электроники	Пульты Оптом - оптовая компания	56.041028000000004	92.865606	Караульная ул., 38, Красноярск, Россия
188	Салон связи	Евросеть	54.910313	37.387578999999995	ул. Чернышевского, 29, Серпухов, Россия
189	Магазин электроники	Цифровой супермаркет DNS	55.436136	65.313958	ул. Коли Мяготина, 56, Курган, Россия
190	Салон связи	Салон-мастерская	55.709945999999995	37.734425	Волгоградский просп., 59, Москва, Россия
191	Салон связи	Салон-магазин МТС	55.862027000000005	37.687841	ул. Дудинка, 3, Москва, Россия
192	Салон связи	Салон-магазин МТС	56.85868000000001	35.911097	Новоторжская ул., 23, Тверь, Россия
193	Магазин электроники	Интернет-магазин Ar Gun Game	55.870757999999995	37.677634000000005	ул. Лётчика Бабушкина, 32, корп. 3, Москва, Россия
194	Магазин электроники	Орфей	62.048152	129.718128	ул. Рыдзинского, 24/4, Якутск, Россия
195	Салон связи	Связной	54.630272999999995	39.71011	Первомайский просп., 70, корп. 1, Рязань, Россия
196	Магазин электроники	Цифровой супермаркет DNS	54.986948	73.375755	ул. Карла Либкнехта, 11, Омск, Россия
197	Магазин электроники	Alcom	55.61200899999999	37.612559999999995	Варшавское ш., 129, корп. 2, стр. 2, Москва, Россия
198	Салон связи	Samsung	55.754406	37.620901	Красная площадь, 3, Москва, Россия
199	Магазин электроники	Магазин Высокие Технологии	55.860284	37.121202000000004	ул. Гагарина, 10, Дедовск, Россия
200	Салон связи	Сотэлит	67.5615	33.406432	ул. Бредова, 26А, Апатиты, Россия
201	Магазин электроники	Эльдорадо	55.778967	38.650299	ул. Кирова, 5, Павловский Посад, Россия
202	Салон связи	Tele2	55.62245600000001	37.667789	Луганская ул., 10, Москва, Россия
203	Салон связи	Tele2	55.592636999999996	37.3493	ул. Хабарова, 2, Московский, Россия
204	Магазин электроники	Комфорт	53.092989	91.41275	20, микрорайон Заводской, г. Саяногорск, Россия
205	Салон связи	Максимус	55.686685	37.305766999999996	Можайское ш., 159, Одинцово, Россия
206	Салон связи	Связной	54.5127	36.2754	ул. Маршала Жукова, 2, Калуга, Россия
207	Салон связи	Билайн	56.175477	40.462312	ул. Растопчина, 24, Владимир, Россия
208	Салон связи	НОУ-ХАУ	55.682978000000006	37.549890000000005	ул. Вавилова, 66, Москва, Россия
209	Салон связи	Tele2	56.349003	40.993389	ул. III Интернационала, 29, Камешково, Россия
