stop_id;stop_sequence;route_id;service_id;using_trip_id;using_trip_id__next;stop_id__using_trip_id;stop_id__using_trip_id__next;time
672;36;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;672__Т70;672__Т70;-995.0
672;21;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;672__Т70;771__Т70;996.0
771;37;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;771__Т70;771__Т70;-994.0
771;22;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;771__Т70;1448__Т70;995.0
1448;38;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;1448__Т70;1448__Т70;-994.0
1448;23;1802;3113148;1802_3113148_1_213;1802_3113148_10_213;1448__Т70;15348__Т70;905.0
15348;15;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;15348__Т70;673__Т70;1.0
673;16;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;673__Т70;15345__Т70;1.0
15345;17;1802;3113148;1802_3113148_10_213;1802_3113148_11_213;15345__Т70;463__Т70;66.0
463;23;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;463__Т70;463__Т70;-999.0
463;8;1802;3113148;1802_3113148_1_213;1802_3113148_10_213;463__Т70;11291__Т70;953.0
11291;29;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;11291__Т70;1000516__Т70;1.0
1000516;30;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1000516__Т70;1011__Т70;0.0
1011;31;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1011__Т70;378__Т70;1.0
378;32;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;378__Т70;15342__Т70;-16.0
15342;18;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;15342__Т70;15344__Т70;1.0
15344;19;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;15344__Т70;15339__Т70;2.0
15339;20;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;15339__Т70;375__Т70;1.0
375;21;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;375__Т70;1036__Т70;2.0
1036;22;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1036__Т70;459__Т70;1.0
459;23;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;459__Т70;458__Т70;2.0
458;24;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;458__Т70;1007__Т70;1.0
1007;25;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1007__Т70;1008__Т70;1.0
1008;26;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1008__Т70;1009__Т70;1.0
1009;27;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1009__Т70;1010__Т70;1.0
1010;28;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1010__Т70;16553__Т70;6.0
16553;34;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;16553__Т70;380__Т70;1.0
380;35;1802;3113148;1802_3113148_10_213;1802_3113148_11_213;380__Т70;1018__Т70;17.0
1018;8;1802;3113148;1802_3113148_11_213;1802_3113148_11_213;1018__Т70;386__Т70;3.0
386;10;1802;3113148;1802_3113148_11_213;1802_3113148_11_213;386__Т70;387__Т70;3.0
387;13;1802;3113148;1802_3113148_11_213;1802_3113148_10_213;387__Т70;1001848__Т70;-16.0
1001848;39;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1001848__Т70;381__Т70;-2.0
381;38;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;381__Т70;1012__Т70;-3.0
1012;36;1802;3113148;1802_3113148_10_213;1802_3113148_11_213;1012__Т70;384__Т70;14.0
384;7;1802;3113148;1802_3113148_11_213;1802_3113148_11_213;384__Т70;385__Т70;2.0
385;9;1802;3113148;1802_3113148_11_213;1802_3113148_11_213;385__Т70;1019__Т70;3.0
1019;11;1802;3113148;1802_3113148_11_213;1802_3113148_11_213;1019__Т70;1020__Т70;1.0
1020;12;1802;3113148;1802_3113148_11_213;1802_3113148_11_213;1020__Т70;1021__Т70;2.0
1021;14;1802;3113148;1802_3113148_11_213;1802_3113148_11_213;1021__Т70;1022__Т70;2.0
1022;15;1802;3113148;1802_3113148_11_213;1802_3113148_11_213;1022__Т70;388__Т70;3.0
388;16;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;388__Т70;388__Т70;-999.0
388;1;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;388__Т70;389__Т70;1000.0
389;17;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;389__Т70;389__Т70;-999.0
389;2;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;389__Т70;1023__Т70;1000.0
1023;18;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;1023__Т70;1023__Т70;-999.0
1023;3;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;1023__Т70;390__Т70;1001.0
390;19;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;390__Т70;390__Т70;-999.0
