trip_id;short_name
162_3113928_10_706;652
162_3113928_10_704;652
162_3113928_10_302;652
162_3113928_15_707;652
162_3113928_12_303;652
162_3113928_11_708;652
162_3113928_11_301;652
162_3113928_10_303;652
162_3113928_11_704;652
162_3113928_2_704;652
162_3113928_1_704;652
204_3110924_10_301;625
204_3110924_11_301;625
944_3111948_10_302;78
944_3111948_10_301;78
288_3113929_11_201;743
288_3113929_10_201;743
1736_3107329_11_601;782
1736_3107329_10_601;782
180_3110625_11_701;777
180_3110625_10_701;777
180_3110625_2_702;777
180_3110625_5_701;777
215_3111884_10_301;749
215_3111884_10_304;749
264_3114447_15_204;28
264_3114447_10_203;28
264_3114447_11_201;28
264_3114447_5_203;28
264_3114447_10_201;28
264_3114447_13_203;28
264_3114447_13_802;28
264_3114447_12_802;28
264_3114447_1_203;28
782_3113948_10_702;180
782_3113948_10_301;180
875_3112790_10_301;840
875_3112790_11_301;840
875_3112790_1_301;840
219_3111925_10_301;762
1002_3113341_11_301;677
1002_3113341_10_301;677
375_3113168_1_201;17
375_3113168_10_201;17
375_3113168_11_201;17
985_3113014_11_301;822
985_3113014_10_301;822
913_3113013_10_203;75
913_3113013_10_302;75
1881_3113156_10_201;313
1881_3113156_11_201;313
147_3113174_11_201;35
147_3113174_10_201;35
751_3113202_10_201;82
751_3113202_11_201;82
1992_3113043_11_301;563
1992_3113043_10_301;563
1992_3113043_12_301;563
692_3105323_10_301;665
692_3105323_11_301;665
14150246_1_10_1;450
1063_3113295_11_701;65К
1063_3113295_10_701;65К
1063_3113295_1_701;65К
14150245_1_10_13;422
14150245_1_10_1;422
1665_3113387_10_602;С10
1665_3113387_10_601;С10
1665_3113387_12_601;С10
1665_3113387_11_601;С10
141500276_1_1_1;702
141500303_1_10_1;214
363_3113426_1_301;661
141500192_1_10_1;310
2218_3113276_10_701;М92
2218_3113276_11_701;М92
141500207_1_10_1;365
141500207_1_10_2;365
141500159_1_10_2;360
141500162_1_10_1;56
141500162_1_17_3;56
14150217_1_10_1;551к
141500254_1_10_1;561
141500196_1_10_1;318
141500197_1_10_1;319
141500238_1_11_1;496
141500238_1_10_1;496
141500284_1_10_1;771
14150216_1_10_1;324
141500210_1_10_1;375
141500210_1_10_11;375
14150218_1_10_1;580
141500010_1_10_1;346
141500010_1_10_2;346
141500211_1_10_1;378
141500279_1_10_1;714
14150219_1_10_4;456к
14150219_1_10_1;456к
141500256_1_10_2;571
141500256_1_10_1;571
141500256_1_10_7;571
141500213_1_10_1;380
141500213_1_10_10;380
141500280_1_10_3;414
141500021_1_11_1;320
141500021_1_10_1;320
14150220_1_10_1;333
141500017_1_10_1;540
14150002_1_10_3;368
14150002_1_10_1;368
141500208_1_10_2;372
141500208_1_10_3;372
141500255_1_10_1;567
141500225_1_10_2;440
141500225_1_10_6;440
141500225_1_10_7;440
141500225_1_10_1;440
141500225_1_10_8;440
141500161_1_10_1;371
141500161_1_11_1;371
141500296_1_10_1;994
141500157_1_10_1;132
141500218_1_10_1;404
141500195_1_10_1;315
141500199_1_1_1;329
141500243_1_10_1;529
141500246_1_1_1;544
141500246_1_10_1;544
141500201_1_10_1;334
141500201_1_10_4;334
141500171_1_10_11;119
141500171_1_10_1;119
141500235_1_11_1;474
141500235_1_10_1;474
141500233_1_10_1;469
141500233_1_10_2;469
141500239_1_11_2;497
141500239_1_10_1;497
141500193_1_10_1;311
141500193_1_10_2;311
141500258_1_10_1;579
141500273_1_10_1;667
141500214_1_10_1;386
141500214_1_10_2;386
141500174_1_10_1;145
141500252_1_1_5;554
141500252_1_1_1;554
141500252_1_1_14;554
141500257_1_1_1;575
141500268_1_10_1;341
141500172_1_10_1;139
141500204_1_10_5;343
141500229_1_1_1;459
141500202_1_10_1;338
141500185_1_10_2;250
141500289_1_10_1;877
141500289_1_11_1;877
141500251_1_10_10;553
141500251_1_10_11;553
141500250_1_10_1;552
141500275_1_10_1;291
141500240_1_10_1;500
758_3114291_10_302;157
758_3114291_10_707;157
758_3114291_11_301;157
758_3114291_11_302;157
758_3114291_11_303;157
758_3114291_11_706;157
758_3114291_1_303;157
758_3114291_1_302;157
