id;lat;lon;x;y;source_name;info;station_name;exit_name
20;55.834595;37.383357;4161496.2653831583;7525558.4169288045;data.mos;Нет информации;Волоколамская;Волоколамская, выход из южного вестибюля
22;55.826261;37.385342;4161717.2345723836;7523906.593819622;data.mos;Нет информации;Мякинино;Мякинино, вход-выход 2
714;55.8141349;37.7356549;4200713.888218699;7521503.797376017;data.mos;Нет информации;Бульвар Рокоссовского;Бульвар Рокоссовского, вход-выход 3 в южный вестибюль
494;55.8294285;37.6449918;4190621.3180929585;7524534.35986182;data.mos;Нет информации;Улица Сергея Эйзенштейна;Улица Сергея Эйзенштейна, вход-выход в вестибюль
24;55.803867;37.400553;4163410.51534684;7519469.790059855;data.mos;Нет информации;Строгино;Строгино, вход-выход 2 в западный вестибюль
25;55.804598;37.401208;4163483.429613309;7519614.578889077;data.mos;Нет информации;Строгино;Строгино, вход-выход 3 в западный вестибюль
27;55.802894;37.405145;4163921.6944485623;7519277.0726209115;data.mos;Нет информации;Строгино;Строгино, вход-выход 1 в восточный вестибюль
29;55.803625;37.405607;4163973.1240533097;7519421.857831637;data.mos;Нет информации;Строгино;Строгино, вход-выход 3 в восточный вестибюль
40;55.741336;37.415801;4165107.914942456;7507094.353532526;data.mos;Нет информации;Молодёжная;Молодёжная, выход из западного вестибюля
42;55.740298;37.418016;4165354.487614563;7506889.091577551;data.mos;Нет информации;Молодёжная;Молодёжная, выход из восточного вестибюля
56;55.743095;37.564813;4181695.8549045436;7507442.203935516;data.mos;Нет информации;Киевская;Киевская, вход 1 в вестибюль с пригородных поездов
169;55.6197162;37.6706788;4193480.7818529652;7483081.397662496;data.mos;Нет информации;Царицыно;Царицыно, вход-выход 1 в южный вестибюль
711;55.805133;37.7445447;4201703.496227953;7519720.547812636;data.mos;Нет информации;Черкизовская;Черкизовская, вход-выход 2 в северный вестибюль
710;55.8048131;37.7445503;4201704.119617101;7519657.184163483;data.mos;Нет информации;Черкизовская;Черкизовская, вход-выход 1 в северный вестибюль
708;55.8027347;37.7444641;4201694.523876995;7519245.521293466;data.mos;Нет информации;Черкизовская;Черкизовская, вход в южный вестибюль
540;55.640746;37.6050806;4186178.4236320104;7487228.2458250355;data.mos;Нет информации;Чертановская;Чертановская, вход-выход 3 в северный вестибюль
536;55.6399002;37.608036;4186507.4172551003;7487061.420289847;data.mos;Нет информации;Чертановская;Чертановская, вход в южный вестибюль
787;55.7653;37.604;4186058.131790259;7511834.69457036;data.mos;Нет информации;Пушкинская;Пушкинская, вход-выход 2 в совмещенный вестибюль
786;55.7653257;37.6050054;4186170.0524063036;7511839.7798748575;data.mos;Нет информации;Пушкинская;Пушкинская, вход-выход 4 в совмещенный вестибюль
569;55.7658652;37.6084435;4186552.779947599;7511946.532468757;data.mos;Нет информации;Чеховская;Чеховская, вход-выход 3 в вестибюль
822;55.8492989;37.4393629;4167730.8136525783;7528473.636271677;data.mos;Нет информации;Сходненская;Сходненская, вход-выход 2 в 1-й вестибюль
829;55.851709;37.440023;4167804.29564845;7528951.571847182;data.mos;Нет информации;Сходненская;Сходненская, вход-выход 4 во 2-й вестибюль
828;55.8515441;37.4403099;4167836.2332103597;7528918.870360551;data.mos;Нет информации;Сходненская;Сходненская, вход-выход 3 во 2-й вестибюль
825;55.849722;37.44072;4167881.8853335334;7528557.537094389;data.mos;Нет информации;Сходненская;Сходненская, вход-выход 5 в 1-й вестибюль
823;55.8492661;37.4406824;4167877.6997206802;7528467.132062637;data.mos;Нет информации;Сходненская;Сходненская, вход-выход 3 в 1-й вестибюль
824;55.8496176;37.4410096;4167914.1234580674;7528536.834466634;data.mos;Нет информации;Сходненская;Сходненская, вход-выход 4 в 1-й вестибюль
774;55.7393895;37.6529419;4191506.3191767144;7506709.442410363;data.mos;Нет информации;Таганская;Таганская, вход-выход 1 в вестибюль
776;55.7396869;37.6534996;4191568.4020567304;7506768.250604111;data.mos;Нет информации;Таганская;Таганская, вход-выход 3 в вестибюль
775;55.7395075;37.653618;4191581.5822844403;7506732.775802807;data.mos;Нет информации;Таганская;Таганская, вход-выход 2 в вестибюль
680;55.7649693;37.6382452;4189870.290016373;7511769.2586749615;data.mos;Нет информации;Чистые пруды;Чистые пруды, вход в вестибюль
213;55.758527;37.751631;4202492.339535561;7510494.625900365;data.mos;Нет информации;Шоссе Энтузиастов;Шоссе Энтузиастов, вход-выход 1 в вестибюль
420;55.7423722;37.6535961;4191579.144387592;7507299.264987563;data.mos;Нет информации;Таганская;Таганская, вход в вестибюль
746;55.7085789;37.7287994;4199950.737449566;7500619.34803172;data.mos;Нет информации;Текстильщики;Текстильщики, вход-выход 4 в западный вестибюль
749;55.7095502;37.7331986;4200440.454153463;7500811.2641023835;data.mos;Нет информации;Текстильщики;Текстильщики, вход-выход 3 в восточный вестибюль
748;55.7090224;37.733577;4200482.577448779;7500706.977191041;data.mos;Нет информации;Текстильщики;Текстильщики, вход-выход 2 в восточный вестибюль
743;55.7083382;37.7298615;4200068.969880736;7500571.7896236675;data.mos;Нет информации;Текстильщики;Текстильщики, вход-выход 1 в западный вестибюль
750;55.7095572;37.7335712;4200481.931795733;7500812.647227385;data.mos;Нет информации;Текстильщики;Текстильщики, вход-выход 4 в восточный вестибюль
747;55.7090285;37.7332301;4200443.960717424;7500708.182469388;data.mos;Нет информации;Текстильщики;Текстильщики, вход-выход 1 в восточный вестибюль
186;55.611579;37.720775;4199057.465327645;7481477.427108576;data.mos;Нет информации;Домодедовская;Домодедовская, вход-выход 3 в южный вестибюль
196;55.6334736;37.7650605;4203987.3046371685;7485793.955785708;data.mos;Нет информации;Алма-Атинская;Алма-Атинская, вход в южный вестибюль
201;55.7464401;37.6790124;4194408.473961441;7508103.756231048;data.mos;Нет информации;Площадь Ильича;Площадь Ильича, вход-выход 2 в вестибюль
202;55.746918;37.680107;4194530.324276063;7508198.273982652;data.mos;Нет информации;Площадь Ильича;Площадь Ильича, вход-выход 3 в вестибюль
203;55.7464581;37.6812921;4194662.249004602;7508107.31620071;data.mos;Нет информации;Площадь Ильича;Площадь Ильича, вход-выход 4 в вестибюль
214;55.758464;37.7513205;4202457.77483367;7510482.16215807;data.mos;Нет информации;Шоссе Энтузиастов;Шоссе Энтузиастов, вход-выход 2 в вестибюль
215;55.758443;37.751679;4202497.682871119;7510478.007581782;data.mos;Нет информации;Шоссе Энтузиастов;Шоссе Энтузиастов, вход-выход 3 в вестибюль
218;55.7512317;37.7847758;4206182.001794006;7509051.478133616;data.mos;Нет информации;Перово;Перово, вход-выход 2 в западный вестибюль
184;55.610832;37.720523;4199029.412815964;7481330.198298757;data.mos;Нет информации;Домодедовская;Домодедовская, вход-выход 1 из южного вестибюля
312;55.718765;37.6081344;4186518.371092995;7502632.224444109;data.mos;Нет информации;Шаболовская;Шаболовская, вход в вестибюль
431;55.6221781;37.7439051;4201632.296281641;7483566.742611371;data.mos;Нет информации;Шипиловская;Шипиловская, вход-выход 1 в северный вестибюль
428;55.62029;37.7442272;4201668.152289625;7483194.515264741;data.mos;Нет информации;Шипиловская;Шипиловская, вход-выход 1 в южный вестибюль
432;55.6221086;37.7425049;4201476.426730633;7483553.040794365;data.mos;Нет информации;Шипиловская;Шипиловская, вход-выход 2 в северный вестибюль
86;55.810383;37.798293;4207686.729614957;7520760.507042942;data.mos;Нет информации;Щёлковская;Щёлковская, вход-выход 4 в северный вестибюль
85;55.810051;37.798307;4207688.288087828;7520694.7378475275;data.mos;Нет информации;Щёлковская;Щёлковская, вход-выход 3 в северный вестибюль
87;55.808367;37.798438;4207702.870941121;7520361.146109737;data.mos;Нет информации;Щёлковская;Щёлковская, вход-выход 1 в южный вестибюль
83;55.81041;37.798843;4207747.955334893;7520765.855767235;data.mos;Нет информации;Щёлковская;Щёлковская, вход-выход 1 в северный вестибюль
84;55.810063;37.798851;4207748.845890819;7520697.11503759;data.mos;Нет информации;Щёлковская;Щёлковская, вход-выход 2 в северный вестибюль
88;55.808374;37.798854;4207749.179849292;7520362.532743862;data.mos;Нет информации;Щёлковская;Щёлковская, вход-выход 2 в южный вестибюль
811;55.8089913;37.4629558;4170357.1632669154;7520484.815045026;data.mos;Нет информации;Щукинская;Щукинская, вход-выход 1 во 2-й вестибюль
812;55.8093474;37.4632352;4170388.2659326424;7520555.3565514395;data.mos;Нет информации;Щукинская;Щукинская, вход-выход 2 во 2-й вестибюль
814;55.8077329;37.4654909;4170639.3693080246;7520235.537901635;data.mos;Нет информации;Щукинская;Щукинская, вход-выход 2 в 1-й вестибюль
813;55.807997;37.465866;4170681.125249021;7520287.852946744;data.mos;Нет информации;Щукинская;Щукинская, вход-выход 1 в 1-й вестибюль
69;55.782136;37.705514;4197358.618578647;7515166.782121253;data.mos;Нет информации;Электрозаводская;Электрозаводская, вход в вестибюль
618;55.6627839;37.4820889;4172487.0502162115;7491576.269993033;data.mos;Нет информации;Юго-Западная;Юго-Западная, вход-выход 3 в южный вестибюль
619;55.6629904;37.4821613;4172495.1097473456;7491617.023517344;data.mos;Нет информации;Юго-Западная;Юго-Западная, вход-выход 4 в южный вестибюль
616;55.6625384;37.4831377;4172603.8020981555;7491527.819956971;data.mos;Нет информации;Юго-Западная;Юго-Западная, вход-выход 1 в южный вестибюль
621;55.6645394;37.4842914;4172732.231394683;7491922.7311441265;data.mos;Нет информации;Юго-Западная;Юго-Западная, вход-выход 2 в северный вестибюль
620;55.6643713;37.4841919;4172721.155105349;7491889.554669843;data.mos;Нет информации;Юго-Западная;Юго-Западная, вход-выход 1 в северный вестибюль
617;55.6627638;37.4832504;4172616.347804768;7491572.303196583;data.mos;Нет информации;Юго-Западная;Юго-Западная, вход-выход 2 в южный вестибюль
622;55.6646016;37.4831888;4172609.490524135;7491935.007067813;data.mos;Нет информации;Юго-Западная;Юго-Западная, вход-выход 3 в северный вестибюль
623;55.6647681;37.4833208;4172624.18469692;7491967.867956338;data.mos;Нет информации;Юго-Западная;Юго-Западная, вход-выход 4 в северный вестибюль
